FREQ,Frequency,REF_AREA,Reference area,VALUE,Value,UNIT_MEASURE,Unit of measure,BREAKS,COVERAGE,TITLE_TS,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,CA,Canada,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CA:R:771,15.438,15.1154,13.1194,11.7953,5.2778,0.661,-0.7983,-0.2621,-1.01,-1.9146,-1.7138,-0.4445,2.4148,5.6472,6.6237,7.5167,7.2045,9.7893,9.8983,8.7934,18.4214,7.4683,-3.7133
Q,Quarterly,CH,Switzerland,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CH:N:771,-1.9194,0.2725,1.6215,3.6659,3.1165,2.8178,2.8438,2.5864,3.459,3.5904,2.7605,2.2069,2.5282,2.5933,4.0854,5.2519,5.6995,6.5312,7.4009,7.5089,8.1113,8.035,6.9367
Q,Quarterly,CH,Switzerland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CH:R:771,-2.4279,-0.0985,1.1347,2.8818,2.3781,1.8169,1.6911,1.6645,2.8186,2.924,2.4947,2.2852,2.6577,3.8614,4.9904,5.9828,6.1571,6.007,6.5123,5.9879,5.9265,4.9302,3.4411
Q,Quarterly,CL,Chile,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CL:N:771,6.0422,8.1249,8.752,9.6744,8.6332,9.8279,11.7456,9.7643,9.4887,7.3824,7.6877,7.948,9.0817,9.4516,3.7979,4.5766,8.1701,10.0303,14.7058,15.6481,8.3575,8.1771,
Q,Quarterly,CL,Chile,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CL:R:771,3.1998,5.693,6.969,7.5038,6.3465,7.3912,8.7365,7.0403,7.5109,5.0549,5.3637,5.0607,5.191,6.3335,1.0906,1.6451,5.0715,6.215,9.361,8.4549,0.0449,-2.9963,
Q,Quarterly,CN,China,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CN:N:771,8.148,8.0474,6.8338,4.9908,4.357,3.8279,5.7805,7.2033,7.5963,7.4021,5.2704,3.7813,2.9911,2.2618,2.2134,2.3067,3.0351,3.669,3.0678,1.6141,-0.1523,-2.1837,-3.2836
Q,Quarterly,CN,China,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CN:R:771,6.6266,6.52,5.2177,3.2641,2.3355,2.2324,3.6366,4.9979,5.6963,4.4855,2.1049,-0.6337,-2.1019,-0.5574,-0.0373,2.2719,3.1672,2.4508,2.4328,-0.1164,-1.1039,-4.2402,-5.7263
Q,Quarterly,CO,Colombia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CO:N:771,5.6908,6.8704,7.0346,7.4896,6.9146,6.9803,4.3964,3.7089,5.9611,3.4223,6.5448,6.5244,5.7752,0.9741,1.3111,1.9031,2.0731,8.2166,7.0173,7.4195,9.2628,8.339,9.441
Q,Quarterly,CO,Colombia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CO:R:771,0.5523,2.4273,3.1694,3.2691,3.4032,3.7024,1.2102,0.4349,2.7467,0.092,2.6599,2.5895,1.9738,-1.8248,-0.614,0.2864,0.5079,5.1069,2.5963,2.1499,1.3336,-0.9014,-1.2514
Q,Quarterly,CY,Cyprus,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CY:N:771,0.0816,1.311,1.61,1.7827,2.1181,1.7387,2.0545,2.5133,2.6592,2.8352,2.8026,2.1519,1.8262,2.2288,1.1903,0.7659,0.9031,0.2394,1.1764,2.6226,3.1892,4.6643,
Q,Quarterly,CY,Cyprus,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CY:R:771,-1.2689,0.0369,2.0264,1.8442,2.6397,0.6181,-0.5982,0.0671,1.1133,2.432,3.4578,2.4103,0.7421,3.8472,2.4349,1.6208,2.34,-2.0905,-3.0743,-1.7688,-2.9887,-4.1358,
Q,Quarterly,CZ,Czechia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:CZ:N:771,12.8155,13.3206,12.5348,8.422,7.5731,8.0605,8.8283,9.8937,9.76,9.2463,8.7188,8.9285,8.6006,7.7525,8.3682,8.9481,13.3557,17.2277,22.1364,25.7681,24.5116,23.0856,16.6491
Q,Quarterly,CZ,Czechia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:CZ:R:771,10.139,10.8596,9.7386,5.6714,5.6165,5.6629,6.2903,7.6467,6.8618,6.2491,5.7201,5.7356,4.8232,4.499,4.8963,6.1604,10.9276,13.9241,17.2997,18.5047,11.9323,6.3139,-0.7903
Q,Quarterly,DE,Germany,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:DE:N:771,6.7379,5.8307,5.6471,6.2645,6.6975,6.6415,7.0527,6.2591,5.3391,5.9448,5.2705,6.5068,7.3973,6.6132,8.3004,8.746,9.3112,11.4662,12.7737,12.5961,11.5519,9.7246,4.8544
Q,Quarterly,DE,Germany,R,Real,771,"Year-on-year changes, in per cent",,,,Q:DE:R:771,5.0129,4.342,4.0339,4.7771,5.3082,4.8241,5.0728,4.1902,3.9183,4.1696,3.7486,5.1973,5.6667,5.8104,8.4026,9.0209,7.846,8.9701,8.54,7.2086,5.4697,1.9385,-3.3397
Q,Quarterly,DK,Denmark,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:DK:N:771,4.466,4.6402,4.6729,4.3685,4.8327,4.6154,3.6607,3.2757,2.8369,2.6817,2.4117,2.5551,2.069,1.4322,6.1396,10.8247,14.0203,15.3654,11.252,6.6667,4.1481,2.5918,-2.3504
Q,Quarterly,DK,Denmark,R,Real,771,"Year-on-year changes, in per cent",,,,Q:DK:R:771,3.4649,3.7793,3.0968,3.0673,4.2128,3.5928,2.7526,2.4689,1.6349,1.9179,1.9816,1.8588,1.4432,1.3339,5.5937,10.3254,13.2165,13.4953,9.1814,3.4051,-0.6582,-4.5107,-10.5866
Q,Quarterly,EE,Estonia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:EE:N:771,7.707,4.8178,4.779,4.9025,6.5642,7.366,4.1049,5.687,5.9378,5.7629,8.1051,8.2046,11.472,4.0478,3.9007,4.8252,6.5789,16.0598,17.3087,20.3851,20.9877,27.3313,24.1895
Q,Quarterly,EE,Estonia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:EE:R:771,4.5898,1.6398,1.0117,1.0472,3.3454,3.9179,0.5204,1.8906,3.5451,2.7733,5.7638,6.368,9.8315,5.2711,4.8961,6.031,5.9096,12.5745,11.1421,10.1028,7.204,5.8939,0.3384
Q,Quarterly,ES,Spain,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:ES:N:771,5.3144,5.5858,6.6597,7.1942,6.2477,6.8032,7.16,6.6849,6.8894,5.4029,4.7975,3.6951,3.2878,2.1807,1.8216,1.6821,0.9455,3.284,4.1693,6.2956,8.5311,8.0518,7.6389
Q,Quarterly,ES,Spain,R,Real,771,"Year-on-year changes, in per cent",,,,Q:ES:R:771,2.5023,3.5181,4.9245,5.6636,5.244,4.9129,4.821,4.8915,5.6887,4.4445,4.4711,3.2398,2.6694,2.8578,2.3364,2.4182,0.3502,0.7061,0.7467,0.4572,0.6214,-0.9599,-2.1993
Q,Quarterly,FI,Finland,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:FI:N:771,1.194,1.5748,0.5888,0.9891,0.9833,0.7752,0.9756,1.0774,0.3895,0.6731,0.4831,0.0969,1.1639,0.6686,1.7308,3.5818,4.1227,5.5028,4.8204,3.8318,3.3149,2.3381,1.3526
Q,Quarterly,FI,Finland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:FI:R:771,0.2264,0.7981,-0.0911,0.3852,0.247,-0.2017,-0.3161,-0.2435,-0.7579,-0.5506,-0.4534,-0.6793,0.3429,0.8832,1.4038,3.3822,3.0606,3.3,2.546,0.3514,-1.5495,-4.2076,-5.9798
Q,Quarterly,FR,France,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:FR:N:771,2.8084,3.2934,3.2227,3.3399,2.9268,2.8019,2.7436,3.2319,2.9384,3.1955,3.407,3.7753,4.8803,5.1913,4.8976,5.8563,5.5312,6.0606,7.1307,6.8734,6.9884,6.7755,6.4184
Q,Quarterly,FR,France,R,Real,771,"Year-on-year changes, in per cent",,,,Q:FR:R:771,1.5561,2.3859,2.3324,2.1736,1.5454,0.8896,0.4845,1.3108,1.6963,2.0486,2.3787,2.6614,3.6431,4.8798,4.5344,5.7754,4.753,4.6149,5.3143,4.0455,3.2125,1.4119,0.5385
Q,Quarterly,GB,United Kingdom,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:GB:N:771,4.4362,4.5249,4.6986,4.7028,4.2478,3.1169,2.7942,2.3729,1.3582,1.0076,0.7414,0.8278,1.7588,1.2469,2.5348,5.9113,8.3128,10.0985,9.0909,8.2946,9.1945,10.0671,12.2807
Q,Quarterly,GB,United Kingdom,R,Real,771,"Year-on-year changes, in per cent",,,,Q:GB:R:771,2.2178,1.7218,1.838,1.6321,1.4948,0.6772,0.28,0.1071,-0.4783,-0.9914,-1.0886,-0.567,0.1014,0.5628,1.9072,5.2963,7.6182,7.9111,6.1671,3.2459,2.8212,0.8392,2.0678
Q,Quarterly,GR,Greece,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:GR:N:771,-1.8786,-1.0558,-0.658,-0.4213,0.4745,1.2704,2.2758,3.1991,5.4974,7.5932,8.2864,7.4791,6.7295,4.2904,3.8798,3.1741,4.5381,6.8715,8.7983,9.895,9.7421,10.1813,11.1262
