FREQ,Frequency,L_MEASURE,Measure,L_REP_CTY,Reporting country,CBS_BANK_TYPE,CBS bank type,CBS_BASIS,CBS reporting basis,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,REM_MATURITY,Remaining maturity,CURR_TYPE_BOOK,Currency type of booking location,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,COLLECTION,Collection Indicator,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GB,United Kingdom,,,Q:S:5A:4R:U:B:A:A:TO1:A:GB,1412465.592,1461163.417,1533975.516,1468730.002,1510630.613,1397603.084,1395770.715,1296729.403,1355580.557,1342969.501,1322550.798,1361343.818,1413361.225,1431973.101,1451005.061,1557286.856,1609141.321,1632424.052,1557086.885,1621152.199,1571253.338,1426629.160,1370729.256
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GR,Greece,,,Q:S:5A:4R:U:B:A:A:TO1:A:GR,2670.487,2456.525,2353.084,2325.129,2525.894,2607.261,2638.319,2557.921,2436.527,2441.591,2297.318,2476.491,2374.085,1041.451,1137.395,2798.243,2386.483,2598.519,2430.100,1999.349,2009.239,1044.999,940.662
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IN,India,,,Q:S:5A:4R:U:B:A:A:TO1:A:IN,107306.532,116317.433,113656.826,116065.529,126345.644,122892.373,116789.872,126626.202,136195.480,137502.768,135421.825,133205.931,137669.036,131361.440,138001.728,138081.084,145210.886,147156.285,155187.755,159452.541,158488.644,162433.883,161856.336
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IT,Italy,,,Q:S:5A:4R:U:B:A:A:TO1:A:IT,292917.546,319174.519,325143.050,342815.748,348151.390,336486.668,336384.880,340487.672,334944.586,340829.494,321837.474,334500.104,331930.007,343603.608,374566.239,383767.228,365938.640,375489.012,369039.754,367640.724,360145.155,360844.193,338395.295
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,MX,Mexico,,,Q:S:5A:4R:U:B:A:A:TO1:A:MX,241264.081,257089.006,256939.578,242865.751,272486.524,258497.333,267430.452,267750.662,277983.220,290240.418,281095.028,296052.213,254931.305,280054.414,288523.878,322131.994,318123.043,329237.632,311091.000,311005.318,325671.131,324924.094,332845.091
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,NL,Netherlands,,,Q:S:5A:4R:U:B:A:A:TO1:A:NL,110929.029,127681.714,127500.388,137879.078,152313.125,142193.008,131429.988,102891.930,88883.808,88290.265,89610.716,88656.500,88335.190,92929.104,96022.757,98064.287,99080.346,102148.439,105653.552,105198.129,114292.864,115915.807,108044.368
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,SG,Singapore,,,Q:S:5A:4R:U:B:A:A:TO1:A:SG,246579.665,265933.508,268494.950,275640.058,277447.348,266983.930,272085.523,272998.580,288609.675,296453.227,291428.420,305244.585,305258.623,313318.404,314884.407,325515.610,326344.608,332506.416,337171.971,327377.266,353800.891,357629.425,353201.240
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,B,Local claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,US,United States,,,Q:S:5A:4R:U:B:A:A:TO1:A:US,3202670.922,3188991.115,3281301.582,3249490.882,3277471.500,3281367.238,3184793.563,3174936.365,3239046.749,3224108.939,3228452.883,3222063.843,3844302.039,3498652.474,3477831.800,3378979.311,3643078.610,3580568.931,3790651.937,3697607.261,3958910.341,3958698.609,4053461.841
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,3P,All countries excluding residents,,,Q:S:5A:4R:U:C:A:A:TO1:A:3P,24390002.359,25036564.361,25802327.854,25784559.479,26952151.091,26212087.654,26311126.924,25869369.241,27032753.959,27406293.655,27263395.214,27204826.199,28855267.015,28759686.360,29361701.421,30298483.954,30997906.650,31083238.965,31133022.107,30714139.933,31737018.441,30370492.697,29560315.827
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,AT,Austria,,,Q:S:5A:4R:U:C:A:A:TO1:A:AT,190067.375,198748.890,205079.251,197086.896,206646.643,189492.067,192456.295,187567.962,184940.102,189351.676,184047.664,191489.703,199639.127,215360.100,224264.512,236081.777,231529.694,235427.602,234140.110,220692.548,223736.291,213494.956,204505.279
