FREQ,Frequency,L_MEASURE,Measure,L_REP_CTY,Reporting country,CBS_BANK_TYPE,CBS bank type,CBS_BASIS,CBS reporting basis,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,REM_MATURITY,Remaining maturity,CURR_TYPE_BOOK,Currency type of booking location,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,COLLECTION,Collection Indicator,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GB,United Kingdom,,,Q:S:5A:4O:F:I:A:A:TO1:A:GB,1373639.661,1350478.691,1438017.421,1341246.562,1589946.775,1516274.313,1504985.867,1417466.687,1605255.446,1646828.425,1596489.838,1483076.580,1630376.510,1575190.916,1599744.950,1642591.420,1592854.515,1585812.080,1537220.188,1475821.026,1529039.562,1448196.269,1396179.419
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GR,Greece,,,Q:S:5A:4O:F:I:A:A:TO1:A:GR,49445.864,48408.746,46555.147,46178.648,50988.776,50932.635,51623.302,51841.386,50237.493,49446.162,47360.245,47237.009,46060.389,36992.153,36788.306,39163.024,37744.356,38939.394,37860.299,36113.019,35798.026,35385.047,32837.696
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IN,India,,,Q:S:5A:4O:F:I:A:A:TO1:A:IN,151422.560,158853.435,164631.507,172312.701,169623.054,159176.685,154004.001,150267.345,158951.251,155723.206,149421.214,147991.074,137965.100,131395.873,128294.147,132161.718,133909.710,135993.072,136955.915,143632.940,141436.697,127774.339,128543.117
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,IT,Italy,,,Q:S:5A:4O:F:I:A:A:TO1:A:IT,289596.730,301622.637,313120.792,309234.923,442647.488,452931.860,451960.908,456387.250,490444.033,503273.131,478886.579,463073.296,473476.796,483728.282,475833.707,494581.658,498123.307,513127.807,514349.459,473278.544,513224.644,494380.838,443719.931
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,MX,Mexico,,,Q:S:5A:4O:F:I:A:A:TO1:A:MX,124968.642,132828.623,127866.098,131221.238,127281.013,124694.215,133019.778,134656.930,136203.175,133789.683,128974.565,133494.498,127527.578,116478.778,122422.004,121330.629,125031.714,123661.698,121615.075,120968.217,125323.985,123416.389,123756.387
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,NL,Netherlands,,,Q:S:5A:4O:F:I:A:A:TO1:A:NL,506217.830,525862.519,522522.983,505153.761,549485.642,520252.577,538981.101,502316.098,530532.959,548033.640,549143.425,533464.251,557985.712,556408.182,558604.499,569173.956,578373.831,565503.798,571737.935,533934.847,555915.040,489506.729,481898.072
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,SG,Singapore,,,Q:S:5A:4O:F:I:A:A:TO1:A:SG,298203.606,302613.546,314371.787,327873.747,343051.331,338217.638,330444.723,336488.887,353625.161,352419.697,346353.640,352712.607,372283.110,370459.055,369156.703,380556.667,387399.376,373595.029,380951.911,391175.572,431385.634,425234.485,427449.910
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,US,United States,,,Q:S:5A:4O:F:I:A:A:TO1:A:US,2540620.923,2572389.354,2598227.069,2599861.059,2784980.218,2701728.503,2757009.201,2756522.284,2958934.523,2986282.371,3107970.076,3093639.763,3421175.642,3302340.318,3333081.760,3497590.748,3651492.349,3602379.181,3725375.081,3785514.073,3878142.601,3529634.719,3474724.526
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",3P,All countries excluding residents,,,Q:S:5A:4O:F:I:A:A:TO1:B:3P,4064339.339,4229876.351,4328798.602,4223627.352,4592917.627,4496169.629,4526252.555,4276900.042,4636669.217,4682589.109,4663378.265,4416597.110,4778608.394,4553175.930,4590532.316,4628600.283,4699335.490,4735933.404,4712018.140,4439075.183,4777546.593,4604503.972,4579350.125
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",AT,Austria,,,Q:S:5A:4O:F:I:A:A:TO1:B:AT,44234.599,41076.579,40527.691,38966.390,48932.144,42739.881,44738.037,39489.223,40409.030,41394.638,40918.685,42995.975,45118.681,42390.953,43637.911,43498.361,45937.278,47627.007,49294.926,41203.544,42064.032,43733.426,45022.826
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",AU,Australia,,,Q:S:5A:4O:F:I:A:A:TO1:B:AU,110898.785,118056.136,116296.622,111427.232,116752.336,113070.123,119306.099,116380.107,121434.448,117348.856,118180.581,119071.030,119388.741,119190.154,112543.888,121439.285,113979.300,109242.790,107417.817,106809.198,122195.271,121215.871,121090.252
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",BE,Belgium,,,Q:S:5A:4O:F:I:A:A:TO1:B:BE,48371.757,61551.739,52484.952,50246.220,68962.759,69219.784,72649.274,47847.991,57048.630,61374.895,64991.471,48535.750,71570.906,57813.007,57594.034,48226.182,67840.009,71475.396,68537.233,52510.893,71644.223,70934.407,63272.886
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",BR,Brazil,,,Q:S:5A:4O:F:I:A:A:TO1:B:BR,22880.701,21999.871,23950.707,23365.092,25181.198,24156.833,24640.711,24054.533,28134.892,30889.601,29009.086,27893.591,22610.327,20687.823,21020.211,19750.026,21248.507,23175.649,22763.255,22158.061,23552.058,23730.828,23987.273
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",CA,Canada,,,Q:S:5A:4O:F:I:A:A:TO1:B:CA,102428.785,103539.134,109174.251,110590.056,116782.286,118495.503,122560.436,120609.781,118378.905,119508.652,120075.709,120626.888,134446.920,134233.563,128312.456,142732.685,138194.240,135179.016,133109.206,137079.396,158657.503,163388.662,158805.324
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",CH,Switzerland,,,Q:S:5A:4O:F:I:A:A:TO1:B:CH,63836.059,66362.845,67843.299,69707.290,71034.501,65397.401,69090.060,69708.898,70528.174,70775.416,73789.487,69406.203,77283.440,71156.555,75537.156,76293.323,90768.817,87254.211,88462.264,99445.089,84738.166,88887.239,85424.451
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",CN,China,,,Q:S:5A:4O:F:I:A:A:TO1:B:CN,439923.004,486060.618,503847.796,507604.873,514843.169,497501.694,493837.331,491719.376,449171.077,458393.410,438671.608,429148.106,422880.438,426481.597,441820.668,428707.130,454993.092,456013.900,433101.727,441844.757,385413.516,355550.086,320616.976
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",DE,Germany,,,Q:S:5A:4O:F:I:A:A:TO1:B:DE,234801.903,232055.457,237386.966,226976.959,253044.843,230904.043,222215.707,211933.554,270054.892,271396.159,275441.438,253751.010,312431.949,289938.731,306856.993,279537.506,335322.042,342986.780,340640.176,272779.421,346957.785,321213.006,327248.603
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",ES,Spain,,,Q:S:5A:4O:F:I:A:A:TO1:B:ES,82778.684,85738.042,89687.976,87905.796,121482.303,98469.999,100169.652,91203.608,96837.397,95729.422,94750.614,100515.528,99873.566,107339.448,112752.548,95588.296,96721.431,102104.782,98654.556,101193.301,110291.781,116713.974,125028.400
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",GB,United Kingdom,,,Q:S:5A:4O:F:I:A:A:TO1:B:GB,568156.955,566715.103,619222.805,553126.307,689518.685,665887.841,659702.816,597938.928,693906.617,715517.309,721949.356,614631.977,714822.633,688626.502,701691.431,706708.659,634739.864,639407.685,606929.961,559316.233,597448.731,569460.945,548895.137
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",GR,Greece,,,Q:S:5A:4O:F:I:A:A:TO1:B:GR,19058.256,17309.451,14283.369,13239.300,16749.551,18801.670,19724.049,20661.058,18029.393,16699.981,15160.229,14818.000,13485.492,4223.768,3025.903,3224.254,2665.977,2735.853,3051.492,3221.999,3039.844,4025.232,4764.777
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",IN,India,,,Q:S:5A:4O:F:I:A:A:TO1:B:IN,42317.870,42326.398,44722.693,47390.550,47320.889,47489.196,46026.011,41598.349,41910.469,40576.081,35786.876,31725.346,28982.557,27381.950,26664.429,29008.303,29924.174,29685.936,28851.682,31056.172,31260.720,28460.599,27267.826
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",IT,Italy,,,Q:S:5A:4O:F:I:A:A:TO1:B:IT,69845.746,69735.188,71636.901,68375.140,81219.243,94714.571,97347.640,82473.854,99096.930,85575.464,92125.789,91446.081,94794.157,85011.528,72455.054,80946.129,81466.415,86775.204,100265.070,87078.241,97949.104,80548.814,75965.268
