Frequency,Issuer residence,Issuer nationality,Issue market,Issue currency group,ISSUE_CUR,Issue currency,Measure,Series,Quaterlly_per_year,Outstanding_Debt_Sec
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,LBP,Lebanese Pound,Amounts outstanding,Q:3P:3P:1:1:C:A:A:LBP:A:A:A:A:A:I,2017-Q1,995.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,MXN,Mexican Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:MXN:A:A:A:A:A:I,2017-Q1,25965.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,MYR,Malaysian Ringgit,Amounts outstanding,Q:3P:3P:1:1:C:A:A:MYR:A:A:A:A:A:I,2017-Q1,2334.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,NOK,Norwegian Krone,Amounts outstanding,Q:3P:3P:1:1:C:A:A:NOK:A:A:A:A:A:I,2017-Q1,60403.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,NZD,New Zealand Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:NZD:A:A:A:A:A:I,2017-Q1,46763.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PHP,Philippine Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PHP:A:A:A:A:A:I,2017-Q1,3276.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PKR,Pakistan Rupee,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PKR:A:A:A:A:A:I,2017-Q1,
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PLN,Zloty,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PLN:A:A:A:A:A:I,2017-Q1,7298.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PTE,Portuguese Escudo,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PTE:A:A:A:A:A:I,2017-Q1,67.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,RUB,Russian rouble,Amounts outstanding,Q:3P:3P:1:1:C:A:A:RUB:A:A:A:A:A:I,2017-Q1,18540.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SAR,Saudi Riyal,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SAR:A:A:A:A:A:I,2017-Q1,3602.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SEK,Swedish Krona,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SEK:A:A:A:A:A:I,2017-Q1,91285.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SGD,Singapore Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SGD:A:A:A:A:A:I,2017-Q1,40785.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SKK,Slovak Koruna,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SKK:A:A:A:A:A:I,2017-Q1,760.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,THB,Baht,Amounts outstanding,Q:3P:3P:1:1:C:A:A:THB:A:A:A:A:A:I,2017-Q1,4356.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,TO1,Total all currencies,Amounts outstanding,Q:3P:3P:1:1:C:A:A:TO1:A:A:A:A:A:I,2017-Q1,21503311.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,TRY,New Turkish Lira,Amounts outstanding,Q:3P:3P:1:1:C:A:A:TRY:A:A:A:A:A:I,2017-Q1,19550.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,TWD,New Taiwan Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:TWD:A:A:A:A:A:I,2017-Q1,362.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,USD,US Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:USD:A:A:A:A:A:I,2017-Q1,10054259.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,VEF,Bolivar Fuerte,Amounts outstanding,Q:3P:3P:1:1:C:A:A:VEF:A:A:A:A:A:I,2017-Q1,54.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,AED,UAE Dirham,Amounts outstanding,Q:3P:3P:1:1:C:A:A:AED:A:A:A:A:A:I,2017-Q2,1568.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ARS,Argentine Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ARS:A:A:A:A:A:I,2017-Q2,1616.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ATS,Austrian Schilling,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ATS:A:A:A:A:A:I,2017-Q2,15.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,AUD,Australian Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:AUD:A:A:A:A:A:I,2017-Q2,271001.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,BHD,Bahraini Dinar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:BHD:A:A:A:A:A:I,2017-Q2,
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,BRL,Brazilian Real,Amounts outstanding,Q:3P:3P:1:1:C:A:A:BRL:A:A:A:A:A:I,2017-Q2,31128.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,BYR,Belarusian Ruble,Amounts outstanding,Q:3P:3P:1:1:C:A:A:BYR:A:A:A:A:A:I,2017-Q2,
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CAD,Canadian Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CAD:A:A:A:A:A:I,2017-Q2,135289.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CHF,Swiss Franc,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CHF:A:A:A:A:A:I,2017-Q2,224269.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CLP,Chilean Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CLP:A:A:A:A:A:I,2017-Q2,1862.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CNY,Renminbi,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CNY:A:A:A:A:A:I,2017-Q2,102936.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,COP,Colombian Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:COP:A:A:A:A:A:I,2017-Q2,5666.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CZK,Czech Koruna,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CZK:A:A:A:A:A:I,2017-Q2,8066.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,DEM,Deutsche Mark,Amounts outstanding,Q:3P:3P:1:1:C:A:A:DEM:A:A:A:A:A:I,2017-Q2,4689.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,DKK,Danish Krone,Amounts outstanding,Q:3P:3P:1:1:C:A:A:DKK:A:A:A:A:A:I,2017-Q2,3491.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,EGP,Egyptian Pound,Amounts outstanding,Q:3P:3P:1:1:C:A:A:EGP:A:A:A:A:A:I,2017-Q2,1099.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ESP,Spanish Peseta,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ESP:A:A:A:A:A:I,2017-Q2,662.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,EUR,Euro,Amounts outstanding,Q:3P:3P:1:1:C:A:A:EUR:A:A:A:A:A:I,2017-Q2,8609706.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,FIM,Finnish Markka,Amounts outstanding,Q:3P:3P:1:1:C:A:A:FIM:A:A:A:A:A:I,2017-Q2,182.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,FRF,French Franc,Amounts outstanding,Q:3P:3P:1:1:C:A:A:FRF:A:A:A:A:A:I,2017-Q2,2580.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,GBP,Pound Sterling,Amounts outstanding,Q:3P:3P:1:1:C:A:A:GBP:A:A:A:A:A:I,2017-Q2,1849459.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,HKD,Hong Kong Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:HKD:A:A:A:A:A:I,2017-Q2,87577.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,HRK,Kuna,Amounts outstanding,Q:3P:3P:1:1:C:A:A:HRK:A:A:A:A:A:I,2017-Q2,118.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,HUF,Forint,Amounts outstanding,Q:3P:3P:1:1:C:A:A:HUF:A:A:A:A:A:I,2017-Q2,1305.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,IDR,Rupiah,Amounts outstanding,Q:3P:3P:1:1:C:A:A:IDR:A:A:A:A:A:I,2017-Q2,12971.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ILS,New shekel,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ILS:A:A:A:A:A:I,2017-Q2,1053.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,INR,Indian Rupee,Amounts outstanding,Q:3P:3P:1:1:C:A:A:INR:A:A:A:A:A:I,2017-Q2,15657.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ISK,Icelandic krona,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ISK:A:A:A:A:A:I,2017-Q2,2110.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ITL,Italian Lira,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ITL:A:A:A:A:A:I,2017-Q2,10280.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,JPY,Yen,Amounts outstanding,Q:3P:3P:1:1:C:A:A:JPY:A:A:A:A:A:I,2017-Q2,419464.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,KRW,Won,Amounts outstanding,Q:3P:3P:1:1:C:A:A:KRW:A:A:A:A:A:I,2017-Q2,829.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,LBP,Lebanese Pound,Amounts outstanding,Q:3P:3P:1:1:C:A:A:LBP:A:A:A:A:A:I,2017-Q2,995.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,MXN,Mexican Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:MXN:A:A:A:A:A:I,2017-Q2,27052.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,MYR,Malaysian Ringgit,Amounts outstanding,Q:3P:3P:1:1:C:A:A:MYR:A:A:A:A:A:I,2017-Q2,2334.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,NOK,Norwegian Krone,Amounts outstanding,Q:3P:3P:1:1:C:A:A:NOK:A:A:A:A:A:I,2017-Q2,58797.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,NZD,New Zealand Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:NZD:A:A:A:A:A:I,2017-Q2,47738.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PHP,Philippine Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PHP:A:A:A:A:A:I,2017-Q2,3270.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PKR,Pakistan Rupee,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PKR:A:A:A:A:A:I,2017-Q2,
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PLN,Zloty,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PLN:A:A:A:A:A:I,2017-Q2,8124.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,PTE,Portuguese Escudo,Amounts outstanding,Q:3P:3P:1:1:C:A:A:PTE:A:A:A:A:A:I,2017-Q2,72.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,RUB,Russian rouble,Amounts outstanding,Q:3P:3P:1:1:C:A:A:RUB:A:A:A:A:A:I,2017-Q2,17673.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SAR,Saudi Riyal,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SAR:A:A:A:A:A:I,2017-Q2,3763.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SEK,Swedish Krona,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SEK:A:A:A:A:A:I,2017-Q2,100030.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SGD,Singapore Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SGD:A:A:A:A:A:I,2017-Q2,42948.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,SKK,Slovak Koruna,Amounts outstanding,Q:3P:3P:1:1:C:A:A:SKK:A:A:A:A:A:I,2017-Q2,808.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,THB,Baht,Amounts outstanding,Q:3P:3P:1:1:C:A:A:THB:A:A:A:A:A:I,2017-Q2,4363.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,TO1,Total all currencies,Amounts outstanding,Q:3P:3P:1:1:C:A:A:TO1:A:A:A:A:A:I,2017-Q2,22422321.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,TRY,New Turkish Lira,Amounts outstanding,Q:3P:3P:1:1:C:A:A:TRY:A:A:A:A:A:I,2017-Q2,23602.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,TWD,New Taiwan Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:TWD:A:A:A:A:A:I,2017-Q2,362.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,USD,US Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:USD:A:A:A:A:A:I,2017-Q2,10212397.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,VEF,Bolivar Fuerte,Amounts outstanding,Q:3P:3P:1:1:C:A:A:VEF:A:A:A:A:A:I,2017-Q2,
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,AED,UAE Dirham,Amounts outstanding,Q:3P:3P:1:1:C:A:A:AED:A:A:A:A:A:I,2017-Q3,1614.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ARS,Argentine Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ARS:A:A:A:A:A:I,2017-Q3,1612.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,ATS,Austrian Schilling,Amounts outstanding,Q:3P:3P:1:1:C:A:A:ATS:A:A:A:A:A:I,2017-Q3,15.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,AUD,Australian Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:AUD:A:A:A:A:A:I,2017-Q3,281978.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,BHD,Bahraini Dinar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:BHD:A:A:A:A:A:I,2017-Q3,
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,BRL,Brazilian Real,Amounts outstanding,Q:3P:3P:1:1:C:A:A:BRL:A:A:A:A:A:I,2017-Q3,30956.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,BYR,Belarusian Ruble,Amounts outstanding,Q:3P:3P:1:1:C:A:A:BYR:A:A:A:A:A:I,2017-Q3,
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CAD,Canadian Dollar,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CAD:A:A:A:A:A:I,2017-Q3,140630.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CHF,Swiss Franc,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CHF:A:A:A:A:A:I,2017-Q3,214915.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CLP,Chilean Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CLP:A:A:A:A:A:I,2017-Q3,1940.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CNY,Renminbi,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CNY:A:A:A:A:A:I,2017-Q3,103057.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,COP,Colombian Peso,Amounts outstanding,Q:3P:3P:1:1:C:A:A:COP:A:A:A:A:A:I,2017-Q3,5704.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,CZK,Czech Koruna,Amounts outstanding,Q:3P:3P:1:1:C:A:A:CZK:A:A:A:A:A:I,2017-Q3,8295.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,DEM,Deutsche Mark,Amounts outstanding,Q:3P:3P:1:1:C:A:A:DEM:A:A:A:A:A:I,2017-Q3,4886.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,DKK,Danish Krone,Amounts outstanding,Q:3P:3P:1:1:C:A:A:DKK:A:A:A:A:A:I,2017-Q3,3582.0
Quarterly,All countries excluding residents,All countries excluding residents,International markets,All currencies,EGP,Egyptian Pound,Amounts outstanding,Q:3P:3P:1:1:C:A:A:EGP:A:A:A:A:A:I,2017-Q3,1664.0
