Frequency,REF_AREA,Reference area,CURRENCY,Currency,TITLE,Series,Monthly_per_year,Exchange_price_rate
Monthly,NO,Norway,NOK,Norwegian krone, Exchange rates against USD Norway - Norwegian krone - Monthly - Average of observations through period,M:NO:NOK:A,2000-01,8.012918
Monthly,PE,Peru,PEN,Sol, Exchange rates against USD Peru - Sol - Monthly - Average of observations through period,M:PE:PEN:A,2000-01,3.4994523809524
Monthly,PH,Philippines,PHP,Philippine peso, Exchange rates against USD Philippines - Philippine peso - Monthly - Average of observations through period,M:PH:PHP:A,2000-01,40.477353
Monthly,PL,Poland,PLN,Zloty, Exchange rates against USD Poland - Zloty - Monthly - Average of observations through period,M:PL:PLN:A,2000-01,4.104493
Monthly,PT,Portugal,EUR,Euro, Exchange rates against USD Portugal - Euro - Monthly - Average of observations through period,M:PT:EUR:A,2000-01,0.986733
Monthly,RO,Romania,RON,Romanian leu, Exchange rates against USD Romania - Romanian leu - Monthly - Average of observations through period,M:RO:RON:A,2000-01,1.834137
Monthly,RS,Serbia,RSD,Serbian Dinar, Exchange rates against USD Serbia - Serbian Dinar - Monthly - Average of observations through period,M:RS:RSD:A,2000-01,11.542321052632
Monthly,RU,Russia,RUB,Russian rouble, Exchange rates against USD Russia - Russian rouble - Monthly - Average of observations through period,M:RU:RUB:A,2000-01,28.309954
Monthly,SA,Saudi Arabia,SAR,Saudi riyal, Exchange rates against USD Saudi Arabia - Saudi riyal - Monthly - Average of observations through period,M:SA:SAR:A,2000-01,3.750481
Monthly,SE,Sweden,SEK,Swedish krona, Exchange rates against USD Sweden - Swedish krona - Monthly - Average of observations through period,M:SE:SEK:A,2000-01,8.482142
Monthly,SG,Singapore,SGD,Singapore dollar, Exchange rates against USD Singapore - Singapore dollar - Monthly - Average of observations through period,M:SG:SGD:A,2000-01,1.6746
Monthly,SI,Slovenia,EUR,Euro, Exchange rates against USD Slovenia - Euro - Monthly - Average of observations through period,M:SI:EUR:A,2000-01,0.822765
Monthly,SK,Slovakia,EUR,Euro, Exchange rates against USD Slovakia - Euro - Monthly - Average of observations through period,M:SK:EUR:A,2000-01,1.386584
Monthly,TH,Thailand,THB,Baht, Exchange rates against USD Thailand - Baht - Monthly - Average of observations through period,M:TH:THB:A,2000-01,37.350448
Monthly,TR,Turkey,TRY,Turkish lira, Exchange rates against USD Turkey - Turkish lira - Monthly - Average of observations through period,M:TR:TRY:A,2000-01,0.5449483852936
Monthly,US,United States,USD,US dollar, Exchange rates against USD United States - US dollar - Monthly - Average of observations through period,M:US:USD:A,2000-01,1.0
Monthly,XM,Euro area,EUR,Euro, Exchange rates against USD Euro area - Euro - Monthly - Average of observations through period,M:XM:EUR:A,2000-01,0.986733
Monthly,ZA,South Africa,ZAR,South African Rand, Exchange rates against USD South Africa - South African Rand - Monthly - Average of observations through period,M:ZA:ZAR:A,2000-01,6.12014
Monthly,AE,United Arab Emirates,AED,UAE dirham, Exchange rates against USD United Arab Emirates - UAE dirham - Monthly - Average of observations through period,M:AE:AED:A,2000-02,3.6725
Monthly,AR,Argentina,ARS,Argentine peso, Exchange rates against USD Argentina - Argentine peso - Monthly - Average of observations through period,M:AR:ARS:A,2000-02,0.999477505639
Monthly,AT,Austria,EUR,Euro, Exchange rates against USD Austria - Euro - Monthly - Average of observations through period,M:AT:EUR:A,2000-02,1.016965
Monthly,AU,Australia,AUD,Australian dollar, Exchange rates against USD Australia - Australian dollar - Monthly - Average of observations through period,M:AU:AUD:A,2000-02,1.590617
Monthly,BA,Bosnia and Herzegovina,BAM,Bosnian convertible mark, Exchange rates against USD Bosnia and Herzegovina - Bosnian convertible mark - Monthly - Average of observations through period,M:BA:BAM:A,2000-02,1.989001
Monthly,BE,Belgium,EUR,Euro, Exchange rates against USD Belgium - Euro - Monthly - Average of observations through period,M:BE:EUR:A,2000-02,1.016965
Monthly,BG,Bulgaria,BGN,Lev, Exchange rates against USD Bulgaria - Lev - Monthly - Average of observations through period,M:BG:BGN:A,2000-02,1.989009
Monthly,BR,Brazil,BRL,Brazilian real, Exchange rates against USD Brazil - Brazilian real - Monthly - Average of observations through period,M:BR:BRL:A,2000-02,1.789911150812
Monthly,CA,Canada,CAD,Canadian dollar, Exchange rates against USD Canada - Canadian dollar - Monthly - Average of observations through period,M:CA:CAD:A,2000-02,1.451071
Monthly,CH,Switzerland,CHF,Swiss franc, Exchange rates against USD Switzerland - Swiss franc - Monthly - Average of observations through period,M:CH:CHF:A,2000-02,1.634143
Monthly,CL,Chile,CLP,Chilean peso, Exchange rates against USD Chile - Chilean peso - Monthly - Average of observations through period,M:CL:CLP:A,2000-02,512.850952
Monthly,CN,China,CNY,Renminbi, Exchange rates against USD China - Renminbi - Monthly - Average of observations through period,M:CN:CNY:A,2000-02,8.277001
Monthly,CO,Colombia,COP,Colombian peso, Exchange rates against USD Colombia - Colombian peso - Monthly - Average of observations through period,M:CO:COP:A,2000-02,1949.873448
Monthly,CZ,Czechia,CZK,Czech koruna, Exchange rates against USD Czechia - Czech koruna - Monthly - Average of observations through period,M:CZ:CZK:A,2000-02,36.290206
Monthly,DE,Germany,EUR,Euro, Exchange rates against USD Germany - Euro - Monthly - Average of observations through period,M:DE:EUR:A,2000-02,1.016965
Monthly,DK,Denmark,DKK,Danish krone, Exchange rates against USD Denmark - Danish krone - Monthly - Average of observations through period,M:DK:DKK:A,2000-02,7.571615
