Frequency,CURR_DENOM,Currency of denomination,BORROWERS_CTY,Borrowers' country,Borrowers' sector,Lending sector,Type of instruments,UNIT_MEASURE,Unit of measure,Series,Quarterly_per_year,Global_Rate
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2018-Q1,185177.578
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2018-Q1,523101.843
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2018-Q1,105108.954
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2018-Q1,200966.922
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2018-Q1,36971.583
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2018-Q2,11436176.997
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2018-Q2,4608121.247
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2018-Q2,182712.18
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2018-Q2,510430.499
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2018-Q2,102469.571
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2018-Q2,188139.944
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2018-Q2,39808.645
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2018-Q3,11448084.482
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2018-Q3,4568952.425
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2018-Q3,180738.961
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2018-Q3,486898.145
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2018-Q3,104388.286
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2018-Q3,180945.208
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2018-Q3,43532.172
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2018-Q4,11562313.634
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2018-Q4,4575598.511
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2018-Q4,178265.475
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2018-Q4,469653.653
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2018-Q4,105357.249
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2018-Q4,165251.769
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2018-Q4,43274.315
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2019-Q1,11725154.147
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2019-Q1,4624838.235
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2019-Q1,179252.915
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2019-Q1,477659.777
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2019-Q1,110810.354
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2019-Q1,160480.582
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2019-Q1,44185.914
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2019-Q2,11818262.667
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2019-Q2,4656161.023
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2019-Q2,180166.653
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2019-Q2,481114.548
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2019-Q2,115302.394
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2019-Q2,155868.276
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2019-Q2,41848.645
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2019-Q3,11999368.946
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2019-Q3,4720414.561
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2019-Q3,179477.714
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2019-Q3,474482.092
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2019-Q3,121868.166
